key,model,term,estimate,std_error,ci_low,ci_high,p_value,exponentiated,exponentiated_ci_low,exponentiated_ci_high,design_df,converged
M2_COEF_ns.AGEY1X..3.2,M2,"ns(AGEY1X, 3)2",0.09464966123809729,0.5494452378857716,-0.9872600578328933,1.176559380309088,0.8633820898062639,1.0992736694809535,0.3725961857065257,3.2431963792724257,261,TRUE
M2_COEF_ns.AGEY1X..3.3,M2,"ns(AGEY1X, 3)3",0.6058213221372227,0.15139464889719553,0.307710917745532,0.9039317265289135,8.497665381618084e-5,1.8327568746868514,1.3603076912780372,2.4692926337541086,261,TRUE
M2_COEF_sexfemale,M2,sexfemale,-0.08427290657970876,0.08962497272834115,-0.2607529675215124,0.09220715436209487,0.34806279793691786,0.9191803714913331,0.7704712275249329,1.096591962361896,261,TRUE
M2_COEF_race_modelhispanic,M2,race_modelhispanic,0.15064505735122433,0.1496693895043504,-0.14406814787241082,0.44535826257485944,0.3152284022956942,1.1625839342184672,0.8658287416620313,1.5610493612263046,261,TRUE
M2_COEF_race_modelnon_hispanic_black,M2,race_modelnon_hispanic_black,0.16730966961830912,0.11411135474055842,-0.057386396954633656,0.3920057361912519,0.14396656342227532,1.1821202753688078,0.9442291516008521,1.4799462006323898,261,TRUE
M2_COEF_race_modelnon_hispanic_asian_other_multiple,M2,race_modelnon_hispanic_asian_other_multiple,0.2173767428497678,0.17489511485149967,-0.1270083050650768,0.5617617907646124,0.21517660796853708,1.2428122345724324,0.8807263580770646,1.7537595374973096,261,TRUE
M2_COEF_regionmidwest,M2,regionmidwest,0.17788762706796185,0.12821403358072433,-0.07457795000401335,0.43035320413993705,0.16666024632992404,1.194691062753831,0.9281351231025705,1.5378005851699088,261,TRUE
M2_COEF_regionsouth,M2,regionsouth,0.09287445313115907,0.0912344363650091,-0.08677479416614521,0.27252370042846336,0.3097637032777482,1.0973239610322894,0.9168835599104572,1.313274583713975,261,TRUE
M2_COEF_regionwest,M2,regionwest,-0.10206540617250941,0.12773577847482112,-0.35358925363870436,0.14945844129368552,0.4250978534591462,0.9029704898937626,0.702163319159993,1.161205211622849,261,TRUE
M2_COEF_poverty_2below_200_fpl,M2,poverty_2below_200_fpl,0.24446890267599403,0.10358677094726476,0.04049673852316596,0.4484410668288221,0.01911293035788152,1.2769429520981799,1.0413279134301128,1.56586919632463,261,TRUE
